"","SV, tau=0","SV, tau=0.025","SV, tau=0.05","SV, tau=0.075","SV, tau=0.1","SV, tau=0.125","SV, tau=0.15","SV, tau=0.175","SV, tau=0.2","SV, tau=0.225","SV, tau=0.25","SV, tau=0.275","SV, tau=0.3","SV, tau=0.325","SV, tau=0.35","SV, tau=0.375","SV, tau=0.4","SV, tau=0.425","SV, tau=0.45","SV, tau=0.475","SV, tau=0.5","SV, tau=0.525","SV, tau=0.55","SV, tau=0.575","SV, tau=0.6","SV, tau=0.625","SV, tau=0.65","SV, tau=0.675","SV, tau=0.7","SV, tau=0.725","SV, tau=0.75","SV, tau=0.775","SV, tau=0.8","SV, tau=0.825","SV, tau=0.85","SV, tau=0.875","SV, tau=0.9","SV, tau=0.925","SV, tau=0.95","SV, tau=0.975","SV, tau=1"
"3685",0.659,0.016,0.056,0.112,0.739,0.018,0.756,0.417,0.794,0.831,0.013,0.619,0.776,0.083,0.198,0.958,0.001,0.006,0.004,0.075,0,0.002,0,0.024,0.007,0,0.007,0.001,0.004,0.009,0.001,0.003,0,0,0.005,0,0,0,0,0,0
"3686",0.238,0.825,0.367,0.845,0.779,0.017,0.631,0.224,0.181,0.942,0.023,0.276,0.034,0.401,0.002,0.004,0.02,0.017,0.185,0,0,0.009,0.006,0,0.011,0.121,0,0.001,0,0.004,0.006,0.002,0.006,0,0,0.123,0.022,0.035,0,0.015,0
"3687",0.602,0.374,0.17,0.144,0.389,0.024,0.461,0.317,0.045,0.07,0.153,0.055,0.001,0.442,0,0.002,0.105,0,0.003,0.18,0.01,0,0.097,0.022,0.107,0.027,0,0.141,0,0.006,0.015,0.007,0.006,0,0.001,0,0.021,0.004,0,0.001,0.007
"3688",0.004,0.661,0.646,0.188,0.015,0.018,0.429,0.199,0.045,0.856,0.181,0.327,0.031,0.02,0.003,0.064,0.051,0,0.033,0.007,0.001,0.057,0.006,0.079,0.001,0.002,0.002,0.01,0.002,0.001,0.004,0.132,0,0.001,0,0.039,0,0,0.014,0,0.006
"3689",0.762,0.593,0.78,0.613,0.986,0.137,0.34,0.39,0.065,0.17,0.195,0.93,0.04,0.007,0.075,0.049,0.001,0.008,0.012,0.019,0,0.047,0.013,0.001,0.002,0.002,0,0,0,0,0,0,0.028,0,0,0.026,0.002,0,0,0.004,0
"3690",0.805,0.493,0.408,0.09,0.929,0.988,0.99,0.204,0.043,0.239,0.074,0.672,0.001,0.018,0.005,0.322,0.012,0.019,0.03,0.001,0,0.022,0,0.006,0,0,0,0,0,0.06,0.001,0.018,0,0,0.061,0.002,0,0.066,0,0.009,0
"3691",0.691,0.84,0.502,0.824,0.818,0.499,0.252,0.816,0.209,0.005,0.064,0.003,0.015,0.601,0.022,0.091,0,0.155,0.026,0.026,0.059,0.005,0,0,0,0.001,0.04,0.036,0.004,0.03,0.024,0.03,0,0.008,0,0,0,0.174,0.001,0.001,0.019
"3692",0.932,0.507,0.357,0.606,0.187,0.411,0.909,0.524,0.376,0.003,0.469,0.005,0.02,0.028,0.139,0,0.19,0.001,0.013,0.011,0.073,0.061,0.029,0.002,0.003,0,0,0.002,0.014,0.004,0,0,0.001,0,0.008,0.035,0,0.001,0,0,0.002
"3693",0.758,0.774,0.497,0.399,0.983,0.014,0.225,0.443,0.881,0.197,0.927,0.034,0.476,0.013,0.002,0.003,0.007,0.123,0.006,0.036,0.004,0.13,0.001,0,0.04,0.006,0.002,0.021,0.002,0,0,0.001,0,0,0,0,0,0,0.001,0,0
"3694",0.6,0.537,0.515,0.482,0.795,0.468,0.726,0.471,0.374,0.628,0.17,0.026,0.014,0.025,0.001,0.001,0.034,0.038,0,0.003,0.005,0,0.001,0.025,0,0.001,0.02,0.006,0,0.042,0,0,0,0.001,0,0.001,0,0,0,0.013,0.001
"3695",0.424,0.463,0.418,0.636,0.393,0.501,0.817,0.088,0.977,0.97,0.125,0.201,0.002,0.033,0.011,0.002,0.009,0.004,0.162,0.001,0,0.009,0,0,0.001,0.001,0,0.008,0,0,0.004,0.022,0.001,0.006,0.005,0.002,0.003,0,0,0,0.001
"3696",0.077,0.695,0.68,0.245,0.661,0.75,0.07,0.084,0.002,0.001,0.548,0.064,0.38,0.047,0.006,0.192,0.012,0.056,0.001,0.034,0.354,0.048,0,0.051,0.012,0.028,0,0.01,0.019,0,0.006,0.03,0,0.003,0.037,0.014,0,0.001,0,0.002,0.002
"3697",0.677,0.711,0.388,0.399,0.78,0.291,0.035,0.905,0.4,0.115,0.102,0.28,0.004,0.524,0.005,0.08,0,0.032,0.005,0.004,0.049,0,0.034,0.004,0.008,0,0.009,0,0.038,0.001,0.004,0.066,0,0,0,0,0.007,0,0.001,0,0
"3698",0.259,0.524,0.978,0.918,0.072,0.542,0.644,0.83,0.159,0.54,0.36,0.006,0.476,0.082,0.001,0.001,0.002,0.002,0,0,0.001,0.001,0.002,0.035,0.007,0.005,0,0.061,0.009,0,0,0.001,0.001,0,0,0,0.053,0,0.032,0,0.002
"3699",0.925,0.335,0.048,0.751,0.081,0.03,0.888,0.371,0.012,0.827,0.065,0.03,0.13,0.28,0.025,0.001,0.151,0.014,0.001,0,0.001,0,0,0.047,0,0.014,0.061,0.109,0.011,0.001,0.032,0,0,0.002,0,0,0.007,0,0,0.007,0.01
"3700",0.992,0.273,0.681,0.543,0.782,0.656,0.091,0.046,0.412,0.998,0.869,0.003,0.408,0.144,0.024,0.169,0.052,0.023,0.001,0.076,0,0,0.113,0.002,0.324,0.002,0,0.026,0.022,0.005,0.014,0,0,0.031,0.038,0,0,0,0,0,0.005
"3701",0.91,0.424,0.74,0.554,0.909,0.004,0.003,0.112,0.03,1,0.041,0.002,0.84,0.043,0.19,0.166,0.903,0.125,0.008,0.003,0.002,0.022,0.001,0.018,0.003,0,0.012,0.078,0,0.02,0.003,0.002,0,0,0.001,0,0,0,0.04,0,0
"3702",0.796,0.613,0.374,0.794,0.094,0.961,0.25,0.485,0.81,0.175,0.543,0.026,0.047,0.002,0.932,0.027,0.059,0,0.034,0.006,0.019,0.091,0,0.006,0,0,0,0,0.001,0.001,0.034,0,0.024,0.05,0.001,0.003,0.001,0.039,0.014,0,0
"3703",0.964,0.198,0.203,0.583,0.512,0.901,0.037,0.568,0.992,0.007,0.436,0.07,0.082,0.114,0.185,0.005,0,0.119,0,0,0.021,0,0.013,0,0.006,0,0.035,0.042,0,0.004,0,0,0,0,0,0,0,0,0.015,0.022,0
"3704",0.039,0.722,0.78,0.673,0.545,0.423,0.513,0.104,0.12,0.501,0.005,0.015,0.002,0.032,0.165,0.022,0,0.219,0.117,0.001,0.091,0.002,0.012,0.1,0.71,0.009,0.016,0,0,0,0.137,0.012,0,0.009,0.006,0,0,0,0,0.003,0
"3705",0.664,0.848,0.891,0.7,0.237,0.809,0.421,0.022,0.433,0.824,0.35,0.021,0.873,0.001,0.386,0.047,0.003,0,0.059,0.001,0,0,0.015,0.019,0.002,0,0.015,0,0.002,0.009,0,0.032,0.005,0,0.034,0,0,0,0,0.003,0.001
"3706",0.332,0.086,0.304,0.694,0.412,0.023,0.504,0.95,0.05,0.282,0.731,0.991,0.016,0.018,0.258,0.003,0.127,0.186,0,0,0.096,0.001,0.026,0,0.067,0.008,0.017,0.012,0,0.016,0,0.001,0,0,0,0,0,0.005,0.046,0.003,0
"3707",0.874,0.661,0.361,0.589,0.572,0.283,1,0.096,0.052,0.008,0.14,0.009,0.022,0.007,0.014,0.005,0,0.001,0.001,0.16,0.041,0.001,0,0.002,0.036,0.007,0,0.017,0.003,0.004,0,0.003,0.092,0,0,0,0.013,0,0,0,0
"3708",0.369,0.493,0.966,0.975,0.686,0.746,0.723,0.273,0.577,0.063,0.088,0.003,0.036,0.002,0.001,0.006,0.027,0.016,0.05,0.028,0.078,0,0.007,0.018,0.061,0.013,0.002,0.033,0,0.096,0.074,0.008,0.057,0,0,0,0.001,0,0,0.002,0
"3709",0.903,0.573,0.182,0.393,0.872,0.848,0.615,0.852,0.763,0.247,0.123,0.011,0.001,0.023,0.01,0.001,0.03,0.001,0.011,0,0.009,0.001,0.003,0,0.001,0.007,0,0.039,0,0.024,0,0,0,0,0,0,0.001,0.003,0.017,0.001,0.019
"3710",0.43,0.098,0.318,0.864,0.341,0.797,0.626,0.051,0.613,0.109,0.55,0.007,0.062,0.001,0.911,0.079,0.004,0.146,0.005,0.012,0,0,0.002,0.001,0.011,0,0.002,0,0.004,0,0.001,0.001,0.001,0,0.001,0,0.001,0,0,0.015,0.001
"3711",0.727,0.5,0.786,0.01,0.051,0.613,0.194,0.829,0.696,0.143,0.179,0.957,0.016,0.078,0.05,0.005,0.007,0.055,0,0.007,0.002,0.019,0.004,0.057,0.559,0,0,0.01,0,0,0.09,0,0.016,0,0.005,0.004,0.019,0.002,0,0.003,0
"3712",0.16,0.206,0.801,0.436,0.454,0.521,0.544,0.252,0.311,0,0.927,0.1,0.085,0.158,0,0.017,0.156,0.003,0.075,0.068,0,0.073,0.015,0.001,0.001,0.054,0,0.011,0.056,0.13,0,0,0.001,0.015,0.004,0.037,0.002,0.009,0,0,0
"3713",0.558,0.074,0.553,0.364,0.378,0.005,0.24,0.929,0.026,0.76,0.368,0.027,0.187,0.02,0.147,0.016,0.25,0.065,0.01,0.001,0.036,0.204,0.088,0.001,0.028,0,0,0.024,0,0,0,0.012,0,0,0.04,0,0,0.005,0.02,0,0.007
"3714",0.246,0.762,0.943,0.112,0.205,0.573,0.546,0.97,0.395,0,0.045,0.058,0.019,0.036,0.039,0.002,0.002,0,0.009,0.081,0.026,0.004,0.002,0.004,0.007,0.048,0,0.002,0.001,0.043,0,0,0,0.001,0.014,0.022,0,0.001,0.131,0,0
"3715",0.469,0.634,0.822,0.926,0.232,0.474,0.655,0.002,0.011,0.749,0.069,0.099,0.003,0.89,0.029,0.005,0.008,0.226,0.006,0.08,0.006,0.029,0.027,0.089,0.001,0,0,0.001,0.011,0.006,0,0,0.006,0.001,0.017,0.003,0,0,0.003,0,0.009
"3716",0.705,0.779,0.034,0.78,0.538,0.73,0.116,0.44,0.227,0.355,0.69,0.209,0.081,0.028,0.001,0.021,0.306,0.027,0.002,0.178,0.007,0.002,0,0.006,0,0.002,0.002,0.006,0.004,0.009,0.001,0,0.033,0,0.007,0.001,0,0.001,0.018,0.048,0
"3717",0.993,0.316,0.44,0.347,0.021,0.67,0.129,0.03,0.018,0.348,0.057,0.139,0,0.032,0.019,0.026,0.65,0.04,0.015,0.001,0,0.08,0.032,0.023,0,0,0.028,0,0.002,0.02,0,0.02,0,0.018,0.018,0,0.002,0.007,0,0.016,0
"3718",0.922,0.288,0.635,0.456,0.492,0.13,0.278,0,0.023,0.968,0.036,0.35,0.143,0.055,0.077,0.005,0.011,0.164,0.001,0.202,0.001,0,0.016,0.02,0.033,0,0,0.001,0,0,0,0.017,0,0.006,0,0,0.003,0.001,0,0,0
"3719",0.51,0.914,0.966,0.542,0.528,0.916,0.808,0.187,0.017,0.064,0.046,0.944,0.014,0.005,0.635,0.196,0.02,0.572,0.001,0,0.01,0.025,0.003,0.001,0,0.02,0.056,0,0.012,0.011,0.01,0.001,0.003,0,0.005,0,0,0,0,0,0
"3720",0.696,0.865,0.449,0.707,0.708,0.37,0.05,0.106,0.135,0.068,0.081,0.093,0.141,0.016,0.213,0.013,0.144,0,0.001,0.064,0,0.001,0.001,0.02,0,0.031,0.005,0,0,0,0,0,0.003,0.001,0.002,0.004,0.001,0,0.003,0,0.001
"3721",0.877,0.589,0.046,0.275,0.638,0.559,0.024,0.857,0.864,0.02,0.021,0.215,0.064,0.032,0.011,0,0.182,0,0.034,0.001,0,0,0.023,0.006,0.007,0.005,0.055,0,0.001,0.003,0.117,0.009,0.025,0.004,0,0,0.001,0,0,0.02,0.004
"3722",0,0.894,0.416,0.942,0.515,0.062,0.831,0.118,0.357,0.738,0.417,0.021,0.018,0.089,0.055,0.086,0,0.001,0.052,0,0.003,0,0.014,0,0,0,0.019,0.001,0.005,0,0,0.005,0.014,0.001,0.006,0.006,0.035,0,0.001,0.001,0
"3723",0.085,0.95,0.81,0.119,0.992,0.943,0.979,0.081,0.982,0.113,0.239,0.011,0.04,0.005,0.044,0.01,0.17,0.033,0.014,0.007,0.022,0.002,0.07,0.074,0,0,0.008,0,0.003,0,0.019,0.005,0,0.014,0,0,0.008,0,0,0,0
"3724",0.649,0.803,0.889,0.719,0.003,0.521,0.578,0.126,0.3,0.006,0.144,0.58,0.4,0.663,0.011,0.412,0.001,0.018,0.465,0,0.033,0.042,0.001,0.18,0.008,0.296,0,0.001,0,0,0,0,0.042,0.004,0,0,0,0.026,0,0.001,0.06
"3725",0.716,0.318,0.488,0.198,0.727,0.243,0.996,0.472,0.686,0.55,0.085,0.05,0.014,0.116,0.028,0,0.068,0,0.01,0.074,0,0.001,0,0.026,0,0,0.015,0,0.007,0,0.035,0,0,0.019,0.047,0.04,0.019,0.02,0,0.001,0
"3726",0.015,0.333,0.558,0.103,0.369,0.169,0.016,0.017,0.706,0,0.077,0.077,0,0.133,0.053,0.046,0.048,0.005,0.053,0.014,0.106,0.011,0.006,0.001,0.001,0.001,0.002,0,0.001,0.003,0,0.005,0.008,0,0.002,0,0.015,0.001,0.065,0.004,0
"3727",0.057,0.973,0.877,0.863,0.408,0.955,0.16,0.076,0.069,0.303,0.31,0.023,0.009,0.025,0.047,0.046,0.038,0,0,0,0.039,0.023,0.02,0.021,0.002,0.021,0.005,0.001,0,0,0.15,0,0.01,0.211,0,0,0.051,0.002,0.021,0.023,0.001
"3728",0.599,0.44,0.059,0.454,0.365,0.153,0.115,0.121,0.02,0.708,0.248,0.061,0.101,0.016,0.009,0.078,0.074,0.036,0,0.02,0.471,0.004,0.011,0,0.006,0.052,0.016,0,0,0.003,0.034,0.004,0,0,0.007,0.001,0,0,0,0.571,0
"3729",0.13,0.514,0.747,0.258,0.914,0.255,0.133,0.1,0.275,0.276,0.266,0.01,0.112,0.047,0.017,0.302,0.002,0,0.012,0.178,0.002,0.062,0.012,0,0.007,0.003,0.06,0.005,0.002,0,0,0,0.029,0,0.003,0,0,0,0.001,0.009,0.014
"3730",0.351,0.33,0.012,0.552,0.735,0.623,0,0.799,0.263,0.05,0.289,0.691,0.384,0.097,0.27,0.188,0.007,0.008,0.002,0.021,0.006,0.014,0.039,0.001,0,0.003,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0
"3731",0.719,0.921,0.083,0.785,0.178,0.992,0.529,0.016,0.057,0.021,0.04,0.688,0.033,0.021,0.002,0.377,0.072,0.027,0,0.716,0.003,0.009,0.002,0,0.002,0.005,0,0,0,0.008,0.001,0.001,0.006,0.006,0.012,0.003,0.001,0.018,0,0,0
"3732",0.474,0.93,0.153,0.443,0.153,1,0.714,0.578,0.267,0.116,0.546,0.001,0.001,0.125,0.211,0.016,0.265,0.028,0.013,0.053,0.021,0.089,0.096,0.001,0.001,0.001,0,0.021,0.288,0.004,0.001,0.002,0.009,0.073,0.007,0,0,0,0.04,0.002,0.002
"3733",0.964,0.585,0.351,0.129,0.439,0.642,0.291,0.511,0.945,0.035,0.693,0,0.001,0.035,0.173,0.012,0.694,0.045,0.017,0.005,0,0.057,0.001,0.004,0.097,0.013,0.012,0.014,0.211,0,0,0.011,0.044,0,0.012,0,0,0.001,0.022,0.003,0
"3734",0.278,0.94,0.474,0.464,0.383,0.68,0.327,0.77,0.619,0.027,0.15,0.125,0.018,0.005,0.001,0,0.005,0.016,0,0.001,0.001,0.032,0,0,0.011,0.015,0.008,0.027,0.014,0.013,0,0,0.03,0,0,0,0,0.019,0,0,0.013
"3735",0.361,0.022,0.791,0.608,0.264,0.255,0.785,0.671,0.698,0.131,0.007,0.661,0.024,0.036,0,0.015,0.228,0,0.217,0.014,0.016,0,0.022,0,0.005,0.012,0.02,0,0.056,0,0,0.05,0,0.013,0,0,0,0,0,0,0
"3736",0.979,0.679,0.88,0.839,0.07,0.097,0.211,0.066,0.56,0.992,0.941,0.327,0.04,0.104,0.011,0.295,0.03,0,0.004,0.094,0,0,0.018,0.032,0,0.01,0.014,0.002,0.008,0,0.005,0.012,0.011,0.004,0,0.002,0,0,0.014,0.003,0
"3737",0.272,0.368,0.604,0.011,0.094,0.054,0.84,0.049,0.121,0.002,0.023,0.465,0.48,0.293,0.395,0.002,0,0.001,0.001,0,0.006,0.001,0.047,0.003,0.014,0,0.191,0,0,0.152,0.002,0.009,0.002,0.009,0.015,0.002,0.002,0,0,0.003,0
"3738",0.888,0.376,0.794,0.948,0.967,0.394,0.253,0.38,0,0.343,0.206,0.412,0.48,0.456,0.018,0,0.015,0,0.372,0.017,0.01,0.001,0,0,0.021,0,0,0,0.004,0.017,0,0.053,0.001,0,0.017,0.001,0,0.002,0.001,0.014,0.062
"3739",0.662,0.405,0.925,0.575,0.265,0.714,0.381,0.437,0.092,0.461,0.078,0.094,0.009,0.238,0.166,0.007,0.593,0.014,0.065,0.142,0.136,0,0.017,0.001,0,0.027,0,0,0.001,0,0.002,0.014,0,0.002,0,0.001,0.005,0.043,0,0.003,0.006
"3740",0.33,0.633,0.164,0.815,0.612,0.082,0,0.141,0,0.034,0.909,0.19,0.005,0.018,0.032,0,0.025,0.019,0.012,0,0.021,0,0.075,0.023,0.004,0.003,0.134,0,0,0,0.033,0,0.001,0.001,0,0,0.003,0.013,0.006,0,0
"3741",0.419,0.286,0.509,0.055,0.519,0.807,0.877,0.265,0.383,0.391,0.98,0.037,0.075,0.031,0,0.076,0.251,0.026,0.019,0,0.006,0,0,0,0.002,0,0,0.002,0.002,0,0.001,0.008,0.006,0,0,0,0,0.003,0.003,0.059,0.013
"3742",0.776,0.779,0.056,0.786,0,0.005,0.627,0.473,0.763,0.235,0.451,0.439,0.075,0.004,0.101,0.189,0,0.064,0.005,0,0.006,0,0.024,0,0.003,0,0.001,0.001,0,0,0.004,0,0,0,0,0,0.005,0,0.001,0.006,0
"3743",0.565,0.374,0.154,0.435,0.509,0.799,0.345,0.925,0.004,0.563,0.04,0.004,0.397,0.148,0.001,0.101,0.122,0.041,0.032,0.13,0,0.021,0,0,0.021,0.031,0.011,0.066,0,0.001,0.049,0.004,0.001,0,0.022,0,0.003,0,0.018,0,0.021
"3744",0.714,0.186,0.138,0.409,0.031,0.476,0.031,0.448,0.328,0.824,0.005,0.065,0.001,0.004,0.044,0.122,0.003,0.001,0.025,0,0.002,0.084,0,0.02,0.002,0,0.033,0,0.001,0.014,0.007,0.024,0,0.006,0.003,0.022,0.002,0.001,0.061,0,0
"3745",0.814,0.533,0.165,0.999,0.268,0.613,0.467,0.72,0.014,0.004,0.176,0.531,0.249,0.049,0.121,0.027,0.12,0.037,0.004,0,0.035,0.005,0.001,0.006,0.045,0,0.037,0,0,0,0,0.002,0,0,0,0.001,0,0,0.007,0,0
"3746",0.447,0.196,0.873,0.956,0.795,0.408,0.625,0.177,0.415,0.026,0.079,0.176,0.988,0.02,0.065,0.005,0.01,0.002,0.096,0,0.022,0.006,0,0.087,0,0,0,0.017,0.132,0,0.11,0.066,0.002,0.007,0,0,0.001,0.013,0.001,0,0
"3747",0.444,0.614,0.447,0.788,0.807,0.568,0.877,0.598,0.658,0.415,0.116,0.005,0.042,0.003,0.058,0.004,0.005,0.005,0.051,0.015,0.006,0,0,0.014,0.007,0.004,0.012,0,0.001,0.054,0.009,0,0,0.024,0.001,0.052,0.006,0.002,0,0,0.022
"3748",0.11,0.188,0.985,0.424,0.517,0.335,0.169,0.03,0.038,0.005,0.986,0.13,0.1,0.006,0,0.025,0.011,0.011,0.026,0.013,0.089,0.023,0.003,0,0,0,0.002,0,0,0,0,0.042,0.002,0.001,0.007,0,0.081,0,0.001,0,0
"3749",0.491,0.676,0.022,0.96,0.488,0.073,0.03,0.364,0.362,0.002,0.263,0.698,0.001,0.094,0.003,0.014,0.009,0.021,0,0.002,0.001,0.001,0.023,0,0,0.02,0.001,0,0,0.001,0,0,0,0.002,0,0,0.011,0,0,0,0.001
"3750",0.027,0.491,0.934,0.704,0.82,0.852,0.23,0.019,0.884,0.296,0.844,0.301,0.042,0.004,0.005,0.029,0,0,0.006,0.025,0.001,0,0.001,0.001,0.001,0.056,0,0,0.025,0.004,0,0,0.003,0.002,0.006,0.01,0.034,0,0,0,0
"3751",0.674,0.16,0.652,0.149,0.611,0.765,0.52,0.85,0.663,0.044,0.664,0.006,0.554,0.004,0.07,0.054,0,0.001,0.006,0,0.011,0.001,0,0.27,0.061,0,0.007,0.001,0.023,0.002,0,0.001,0,0,0,0.001,0,0.001,0,0.001,0
"3752",0.54,0.784,0.098,0.992,0.041,0.798,0.076,0.862,0.037,0.9,0.055,0.929,0.44,0.002,0.006,0,0.068,0.017,0.172,0.136,0,0.025,0,0.006,0,0.003,0.001,0.004,0.014,0.013,0,0,0,0,0.007,0.052,0,0,0.001,0,0.001
"3753",0.616,0.198,0.041,0.273,0.006,0.982,0.799,0.417,0.096,0.786,0.384,0.085,0.093,0.206,0,0.002,0.02,0.867,0.01,0,0.005,0.017,0,0.121,0.002,0,0.001,0,0,0,0.022,0,0,0.002,0.002,0,0,0.04,0.009,0,0
"3754",0.489,0.113,0.74,0.323,0.927,0.421,0.213,0.414,0.256,0.289,0.051,0.077,0.001,0.222,0.061,0,0.115,0.161,0.011,0.012,0.063,0.022,0.014,0.001,0.01,0.008,0.068,0,0.001,0,0.004,0.007,0,0.003,0,0.015,0.015,0.014,0.025,0,0
"3755",0.758,0.567,0.324,0.981,0.714,0.405,0.898,0.501,0.068,0.043,0.357,0.117,0.009,0.072,0.014,0.09,0.014,0,0,0.017,0.032,0.013,0,0.001,0,0.025,0.002,0.008,0.103,0.004,0,0.003,0.01,0,0.013,0,0.013,0,0,0,0.015
"3756",0.555,0.611,0.017,0.998,0.562,0.64,0.361,0.886,0.555,0.115,0.01,0.908,0.074,0.001,0.002,0.102,0.194,0.012,0.042,0.079,0.049,0.03,0,0.031,0,0.01,0,0.004,0.002,0.013,0.06,0,0.164,0.004,0,0.001,0,0,0,0,0
"3757",0.433,0.043,0.185,0.519,0.798,0.758,0.038,0.979,0.065,0.376,0.083,0.234,0.236,0.008,0.001,0.028,0,0.399,0.06,0.017,0.006,0.056,0.024,0,0.092,0,0.007,0.008,0.001,0,0.003,0.002,0,0.001,0.003,0.147,0.001,0.021,0.001,0.021,0
"3758",0.221,0.633,0.786,0.718,0.342,0.959,0.253,0.593,0.041,0.609,0.083,0.138,0.238,0.013,0.945,0.01,0.38,0,0.006,0.007,0.018,0,0,0.002,0,0,0,0.07,0,0,0,0,0.002,0.006,0.008,0,0.002,0.001,0.018,0,0
"3759",0.139,0.437,0.447,0.595,0.987,0.946,0.003,0.908,0.717,0.248,0.946,0.157,0.075,0.012,0.031,0.459,0.028,0.036,0.002,0.008,0.011,0.226,0.091,0.017,0.044,0,0,0,0,0,0.007,0,0,0,0.005,0.015,0,0,0.002,0,0
"3760",0.71,0.306,0.447,0.354,0.114,0.797,0.616,0.023,0.695,0.825,0.323,0.934,0.064,0.001,0.009,0.02,0.014,0.005,0,0,0.014,0,0.209,0.003,0.002,0,0,0.005,0,0,0,0.015,0,0,0,0.001,0.005,0,0.013,0,0.005
"3761",0.124,0.128,0.636,0.702,0.619,0.296,0.452,0.182,0.213,0.775,0.869,0.073,0.308,0.084,0.001,0,0.128,0.024,0,0.01,0,0,0.02,0.027,0,0,0,0,0,0.018,0,0.007,0.062,0,0.003,0.115,0,0.004,0.01,0.006,0
"3762",0.927,0.212,0.148,0.822,0.234,0.573,0.038,0.492,0.35,0.472,0.233,0.003,0.724,0.092,0.001,0.071,0.555,0.044,0.001,0,0,0,0,0.003,0,0,0.01,0,0.057,0.001,0,0,0.005,0,0.002,0.011,0,0,0.044,0,0.001
"3763",0.066,0.53,0.921,0.609,0.067,0.865,0.765,0.605,0.403,0.369,0.124,0.042,0.356,0.104,0.003,0.013,0.016,0.049,0.014,0.276,0.001,0.006,0.007,0.027,0.004,0.035,0.01,0,0,0.032,0,0.002,0.015,0,0.014,0,0.019,0,0.008,0.069,0.001
"3764",0.496,0.629,0.189,0.937,0.149,0.159,0.663,0.504,0.097,0.259,0.002,0.045,0,0.067,0,0.085,0.008,0.408,0,0.006,0.139,0.001,0.008,0.001,0,0.009,0.038,0.002,0,0,0.052,0.005,0,0.001,0.027,0.024,0,0,0,0.025,0
"3765",0.728,0.952,0.895,0.709,0.725,0,0.995,0.132,0.122,0.351,0.552,0.133,0.144,0.06,0.013,0.053,0.1,0.545,0.032,0.009,0,0.018,0.083,0.01,0,0.009,0,0.003,0.058,0.001,0,0.004,0,0,0.001,0,0.001,0.004,0.001,0,0
"3766",0.891,0.94,0.199,0.488,0.501,0.49,0.13,0.47,0.047,0.039,0.035,0.071,0,0.242,0,0,0.113,0.328,0.002,0.053,0.021,0,0,0.001,0,0,0.025,0,0.001,0.001,0.007,0,0,0,0.021,0.006,0,0.009,0.037,0,0
"3767",0.569,0.593,0.292,0.444,0.935,0.951,0.345,0.538,0.187,0.203,0.097,0.865,0.583,0.052,0.003,0,0.013,0.005,0.034,0.013,0.008,0.092,0.029,0.017,0,0.001,0.036,0,0.044,0.029,0,0.001,0,0.002,0,0,0.03,0,0.057,0.03,0.004
"3768",0.085,0.694,0.663,0.004,0.858,0.654,0.752,0.846,0.003,0.014,0.576,0.476,0.746,0,0.03,0.113,0.285,0.039,0.008,0.002,0.001,0.005,0.057,0.057,0,0.029,0.012,0,0,0.057,0.034,0,0.01,0.006,0,0,0,0.068,0,0.01,0
"3769",0.286,0.827,0.794,0.38,0.589,0.819,0.743,0.972,0.021,0.283,0.008,0.423,0.005,0.091,0.405,0,0.024,0.018,0.001,0.648,0,0.001,0,0.03,0.011,0,0.003,0.008,0,0.014,0.012,0,0.007,0.029,0,0.001,0,0.001,0.002,0,0
"3770",0.006,0.748,0.228,0.728,0.803,0.355,0.142,0.834,0.024,0.021,0.064,0.102,0.008,0.696,0,0.006,0.001,0.1,0.077,0.096,0.022,0,0.001,0.077,0,0.003,0.014,0.006,0.002,0,0.007,0.002,0.015,0,0.001,0,0.001,0,0.014,0.001,0
"3771",0.528,0.542,0.99,0.953,0.52,0.525,0.685,0.025,0.304,0.425,0.875,0.125,0.06,0.003,0,0.194,0.027,0.079,0.038,0.003,0,0.002,0.019,0.006,0,0.003,0.068,0,0.015,0,0.003,0.005,0,0.043,0.002,0.001,0.039,0,0.001,0.01,0.018
"3772",0.004,0.268,0.786,0.858,0.279,0.024,0.492,0.219,0,0.004,0.156,0.026,0.002,0.003,0.617,0.226,0.02,0.007,0.004,0.032,0.006,0.053,0.006,0.103,0.001,0,0,0,0.522,0,0.024,0.011,0.017,0.079,0.066,0,0,0.002,0,0,0.018
"3773",0.798,0.892,0.014,0.571,0.297,0.323,0.928,0.706,0.884,0.388,0.27,0.124,0.169,0.017,0.025,0.018,0.028,0.403,0,0.009,0.03,0.023,0,0.001,0.023,0.003,0,0,0.01,0,0,0,0.001,0,0,0.028,0,0.001,0,0,0
"3774",0.491,0.532,0.956,0.807,0.448,0.163,0.1,0.095,0.892,0.258,0.007,0.195,0.049,0.013,0.02,0,0.029,0.825,0.002,0.001,0.002,0.019,0,0.007,0,0,0.103,0.225,0.051,0.002,0,0.015,0,0.034,0,0.002,0.002,0.005,0,0.011,0
"3775",0.859,0.82,0.092,0.503,0.746,0.038,0.024,0.151,0.008,0.316,0.019,0.113,0.046,0.083,0,0.376,0.003,0.001,0.013,0.02,0.005,0,0.014,0.005,0,0.001,0,0,0,0,0.004,0,0,0.024,0,0.002,0.002,0,0.001,0,0
