"","SV, tau=0","SV, tau=0.025","SV, tau=0.05","SV, tau=0.075","SV, tau=0.1","SV, tau=0.125","SV, tau=0.15","SV, tau=0.175","SV, tau=0.2","SV, tau=0.225","SV, tau=0.25","SV, tau=0.275","SV, tau=0.3","SV, tau=0.325","SV, tau=0.35","SV, tau=0.375","SV, tau=0.4","SV, tau=0.425","SV, tau=0.45","SV, tau=0.475","SV, tau=0.5","SV, tau=0.525","SV, tau=0.55","SV, tau=0.575","SV, tau=0.6","SV, tau=0.625","SV, tau=0.65","SV, tau=0.675","SV, tau=0.7","SV, tau=0.725","SV, tau=0.75","SV, tau=0.775","SV, tau=0.8","SV, tau=0.825","SV, tau=0.85","SV, tau=0.875","SV, tau=0.9","SV, tau=0.925","SV, tau=0.95","SV, tau=0.975","SV, tau=1"
"2214",0.005,0.03,0.311,0.663,0.672,0.709,0.351,0.202,0.081,0.305,0.026,0,0.298,0,0.135,0.002,0.798,0.51,0.038,0,0.016,0.005,0,0.059,0.004,0,0,0,0.165,0,0.001,0,0.001,0,0.031,0.001,0,0,0,0.006,0.043
"2215",0.948,0.457,0.724,0.109,0.092,0.884,0.185,0.079,0.186,0.133,0.012,0.065,0.067,0.185,0.035,0.423,0.014,0.045,0.007,0.016,0.001,0.097,0.001,0,0.021,0.025,0.06,0.003,0.012,0.001,0,0.08,0.009,0.004,0.008,0,0,0.009,0.031,0.006,0
"2216",0.741,0.037,0.233,0.908,0.079,0.804,0.86,0.302,0.042,0.384,0.632,0.625,0.02,0.35,0.008,0.004,0.003,0.049,0.061,0.112,0.012,0.06,0.02,0,0,0.01,0,0.026,0.014,0,0,0,0.001,0,0.007,0,0.058,0.016,0.058,0.001,0
"2217",0.428,0.592,0.656,0.6,0.61,0.122,0.406,0.747,0.944,0.013,0.054,0,0.202,0.005,0.207,0.013,0.085,0,0.001,0.001,0.015,0.014,0,0.001,0,0.079,0.015,0,0,0.012,0.002,0,0.009,0.006,0,0,0.001,0.003,0,0,0.002
"2218",0.461,0.887,0.041,0.926,0.577,0.466,0.048,0.029,0.078,0.009,0,0.001,0.071,0.029,0.001,0.053,0.002,0.015,0.004,0.002,0.017,0.194,0.002,0,0,0.004,0.003,0,0.011,0.039,0.027,0,0.001,0.003,0.001,0,0.019,0.001,0.001,0.003,0
"2219",0.938,0.376,0.489,0.862,0.682,0.283,0.004,0.032,0.926,0.731,0.986,0,0.885,0.21,0.005,0.187,0.003,0.035,0.008,0.03,0.033,0.006,0.04,0.024,0,0.003,0.003,0.006,0,0,0.004,0,0,0,0.001,0.002,0,0.061,0,0.007,0
"2220",0.904,0.334,0.573,0.07,0.777,0.096,0.035,0.402,0.016,0.871,0.544,0.064,0.229,0.035,0.459,0.09,0.213,0,0,0.001,0,0.061,0.059,0.001,0.002,0.005,0.002,0.001,0.008,0.027,0.017,0.046,0.198,0,0.001,0.001,0,0,0,0.008,0
"2221",0.054,0.722,0.304,0.089,0.46,0.206,0.331,0.407,0.123,0.097,0.461,0.106,0.003,0.031,0.017,0.048,0.267,0.013,0,0.021,0,0.022,0.004,0.008,0,0.029,0.001,0.051,0,0.006,0.006,0.083,0,0.024,0,0,0,0,0,0,0.004
"2222",0.366,0.222,0.101,0.475,0.619,0.905,0.276,0.483,0.366,0.05,0.049,0.003,0.012,0.853,0.011,0.002,0.002,0,0.001,0.004,0.112,0.253,0.041,0.004,0.008,0.043,0,0.13,0.003,0.003,0,0.006,0.003,0.003,0,0,0.005,0.002,0,0.084,0.001
"2223",0.94,0.624,0.05,0.721,0.851,0.522,0.489,0.194,0.342,0.015,0.438,0.221,0.726,0.075,0.002,0.001,0.037,0,0,0,0,0,0.064,0.046,0.001,0.002,0.004,0.024,0,0.002,0,0.004,0.009,0,0,0.001,0,0,0,0.018,0
"2224",0.948,0.749,0.328,0.462,0.357,0.994,0.5,0.149,0.017,0.582,0.216,0.505,0.002,0.007,0.03,0.289,0.009,0,0.028,0.024,0,0,0.006,0.01,0.043,0.021,0.001,0,0.023,0,0,0,0,0.001,0,0,0,0.002,0,0,0
